SINAN | 2022/08/13 20:19:33.755 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:19:37.187 | Info | {"ReturnValue":{"__type":"Core.Utilities.Results.SuccessDataResult`1[[System.Collections.Generic.List`1[[Entities.Concrete.Car, Entities]], System.Private.CoreLib]], Core","Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:19:57.783 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:19:58.843 | Info | {"ReturnValue":{"__type":"Core.Utilities.Results.SuccessDataResult`1[[System.Collections.Generic.List`1[[Entities.Concrete.Car, Entities]], System.Private.CoreLib]], Core","Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:23:00.368 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | d
SINAN | 2022/08/13 20:23:01.733 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:24:22.164 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:24:23.517 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:25:38.378 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:25:39.778 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:27:43.815 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:27:45.169 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:28:12.465 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:28:12.525 | Info | {"ReturnValue":{"Data":[{"Id":1,"Name":"White"},{"Id":2,"Name":"Black"},{"Id":3,"Name":"Grey"},{"Id":4,"Name":"Red"},{"Id":5,"Name":"Blue"}],"Success":true,"Message":"All colors get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:28:18.900 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:28:18.911 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/13 20:43:11.860 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
